Structure	Core	HBM	SM_per_Xbar		
B100_Local	1	4	74		
H100	1	6	132		
B100_Global	2	8	74		
B100_Core_Rotate	2	12	74		
Rubin_Ultra	4	16	112		
					
Bandwidth	GPU-to-GPU	GPU-to-HBM	HBM-to-HBM	TSV	L2_per_HBM
B200+HBM3e	10	1	1	1	32
Rubin_Ultra+HBM4	10	2	2	2	64
Shoreline_1x	10	3.33	3.89	3.33	64
Shoreline_1.5x	10	3.33	3.89	5	64
Shoreline_2x	10	3.33	3.89	6.67	64
G2G_1.5x	15	3.33	3.89	5	64
G2G_1x	10	3.33	3.89	5	64
G2G_0.8x	8	3.33	3.89	5	64
G2G_0.5x	5	3.33	3.89	5	64
Sanity_B100	4	1.2	1.2	1.8	64
Sanity_Rubin	6.4	1.92	1.92	2.88	64
