Benchmark	Hit_rate
rodinia-3.1:bfs-rodinia-3.1	0.77
rodinia-3.1:nn-rodinia-3.1	0
rodinia-3.1:pathfinder-rodinia-3.1	0.17
rodinia-3.1:lavaMD-rodinia-3.1	0.98
polybench:polybench-gemm	0.99
polybench:polybench-gesummv	0.5
polybench:polybench-2DConvolution	0.3
polybench:polybench-3DConvolution	0.64
polybench:polybench-3mm	0.99
Deepbench_nvidia_tencore:conv_bench-tencore	0.97
Deepbench_nvidia_tencore:gemm_bench-tencore	0.78
Deepbench_nvidia_tencore:rnn_bench-tencore	0.94
GPU_Microbenchmark:mem_bw	0
